query,country,date,clicks,impressions,ctr,position
camperizacion,esp,2017-09-01,0.0,14.0,0.0,6.714285714285714
camperizacion asturias,esp,2017-09-01,0.0,3.0,0.0,4.0
camperizacion ford transit,esp,2017-09-01,0.0,1.0,0.0,2.0
camperizacion ford transit custom,esp,2017-09-01,0.0,1.0,0.0,5.0
camperizacion furgo,esp,2017-09-01,0.0,1.0,0.0,9.0
camperizacion furgo,usa,2017-09-01,0.0,1.0,0.0,3.0
camperizacion furgoneta,esp,2017-09-01,0.0,1.0,0.0,1.0
camperizacion furgonetas,and,2017-09-01,0.0,1.0,0.0,5.0
camperizacion furgonetas,mex,2017-09-01,0.0,1.0,0.0,2.0
camperizacion furgonetas precios,esp,2017-09-01,0.0,5.0,0.0,11.0
camperizacion furgonetas precios,gbr,2017-09-01,0.0,1.0,0.0,10.0
camperizacion galicia,esp,2017-09-01,0.0,1.0,0.0,6.0
camperizacion hyundai h1,arg,2017-09-01,0.0,1.0,0.0,1.0
camperizacion hyundai h1,esp,2017-09-01,0.0,1.0,0.0,6.0
camperizacion nissan nv200,esp,2017-09-01,0.0,2.0,0.0,10.0
camperizacion opel vivaro,esp,2017-09-01,0.0,1.0,0.0,2.0
camperizacion renault trafic,esp,2017-09-01,0.0,2.0,0.0,1.0
camperizacion t4,esp,2017-09-01,0.0,2.0,0.0,1.0
camperizacion vito,esp,2017-09-01,0.0,1.0,0.0,1.0
camperizaciones toño,esp,2017-09-01,0.0,1.0,0.0,6.0
camperización furgonetas,esp,2017-09-01,0.0,4.0,0.0,2.0
camperizada,esp,2017-09-01,0.0,3.0,0.0,2.0
camperizadas,esp,2017-09-01,0.0,1.0,0.0,6.0
camperizados,esp,2017-09-01,0.0,1.0,0.0,10.0
camperizar 4x4,esp,2017-09-01,0.0,2.0,0.0,2.5
camperizar caddy,esp,2017-09-01,0.0,1.0,0.0,39.0
camperizar citroen c8,esp,2017-09-01,0.0,1.0,0.0,9.0
camperizar citroen jumper,esp,2017-09-01,0.0,2.0,0.0,2.0
camperizar citroen jumpy,esp,2017-09-01,0.0,3.0,0.0,4.666666666666666
camperizar dokker,esp,2017-09-01,0.0,2.0,0.0,9.5
camperizar ducato,esp,2017-09-01,0.0,2.0,0.0,7.0
camperizar fiat scudo,esp,2017-09-01,0.0,3.0,0.0,5.333333333333333
camperizar ford transit,esp,2017-09-01,0.0,4.0,0.0,4.5
camperizar furgo,esp,2017-09-01,0.0,7.0,0.0,5.857142857142857
camperizar furgon,esp,2017-09-01,0.0,1.0,0.0,5.0
camperizar furgoneta,col,2017-09-01,0.0,3.0,0.0,5.0
camperizar furgoneta,usa,2017-09-01,0.0,3.0,0.0,3.0
camperizar furgoneta barato,esp,2017-09-01,0.0,1.0,0.0,10.0
camperizar furgoneta casera,esp,2017-09-01,0.0,1.0,0.0,9.0
camperizar furgoneta citroen jumpy,esp,2017-09-01,0.0,1.0,0.0,5.0
camperizar furgoneta en las palmas,esp,2017-09-01,0.0,3.0,0.0,9.0
camperizar furgoneta industrial,esp,2017-09-01,0.0,1.0,0.0,8.0
camperizar furgoneta precio,esp,2017-09-01,0.0,5.0,0.0,9.0
camperizar furgoneta renault trafic,esp,2017-09-01,0.0,5.0,0.0,6.4
camperizar furgoneta tenerife,esp,2017-09-01,0.0,1.0,0.0,23.0
camperizar h1,esp,2017-09-01,0.0,2.0,0.0,7.0
camperizar hyundai h1,esp,2017-09-01,0.0,1.0,0.0,6.0
camperizar jumper,esp,2017-09-01,0.0,1.0,0.0,4.0
camperizar jumpy,esp,2017-09-01,0.0,2.0,0.0,9.0
camperizar kia carnival,esp,2017-09-01,0.0,3.0,0.0,7.0
camperizar monovolumen,esp,2017-09-01,0.0,1.0,0.0,9.0
camperizar nissan evalia,esp,2017-09-01,0.0,1.0,0.0,8.0
camperizar nissan nv200,esp,2017-09-01,0.0,1.0,0.0,7.0
camperizar nv200,esp,2017-09-01,0.0,5.0,0.0,8.2
camperizar opel vivaro,esp,2017-09-01,0.0,2.0,0.0,6.5
camperizar renault trafic,esp,2017-09-01,0.0,2.0,0.0,6.5
camperizar suv,esp,2017-09-01,0.0,2.0,0.0,2.0
camperizar t4,esp,2017-09-01,0.0,1.0,0.0,5.0
camperizar trafic,esp,2017-09-01,0.0,1.0,0.0,6.0
camperizar transporter,esp,2017-09-01,0.0,2.0,0.0,4.0
camperizar transporter t5,esp,2017-09-01,0.0,1.0,0.0,3.0
camperizar volkswagen,esp,2017-09-01,0.0,1.0,0.0,7.0
camperizar volkswagen transporter,esp,2017-09-01,0.0,1.0,0.0,3.0
camperizar vw t4,esp,2017-09-01,0.0,3.0,0.0,1.3333333333333333
camperizar vw t5,prt,2017-09-01,0.0,1.0,0.0,4.0
campers segunda mano,usa,2017-09-01,0.0,1.0,0.0,34.0
campervan españa,esp,2017-09-01,0.0,1.0,0.0,35.0
caravana furgoneta,esp,2017-09-01,0.0,2.0,0.0,3.0
caravelle camperizada,esp,2017-09-01,0.0,1.0,0.0,1.0
chrysler grand voyager camperizada,esp,2017-09-01,0.0,1.0,0.0,4.0
chrysler voyager camper,esp,2017-09-01,0.0,2.0,0.0,1.0
citroen camper,and,2017-09-01,0.0,1.0,0.0,7.0
citroen camper,esp,2017-09-01,0.0,24.0,0.0,8.708333333333332
citroen camper,fra,2017-09-01,0.0,1.0,0.0,10.0
citroen camper jumper,hun,2017-09-01,0.0,1.0,0.0,1.0
citroen camper nueva,esp,2017-09-01,0.0,11.0,0.0,8.636363636363637
citroen camper van,esp,2017-09-01,0.0,7.0,0.0,4.0
citroen camperizada,esp,2017-09-01,0.0,1.0,0.0,3.0
citroen furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,9.0
citroen jumper,zzz,2017-09-01,0.0,1.0,0.0,92.0
citroen jumper autocaravana,esp,2017-09-01,0.0,1.0,0.0,9.0
citroen jumper camper,rus,2017-09-01,0.0,1.0,0.0,1.0
citroen jumper camper 2017,esp,2017-09-01,0.0,6.0,0.0,4.0
citroen jumper camper nueva,esp,2017-09-01,0.0,2.0,0.0,9.5
citroen jumper camper van,esp,2017-09-01,0.0,1.0,0.0,8.0
citroen jumper camperizada,esp,2017-09-01,0.0,1.0,0.0,2.0
citroen jumper camperizada,gbr,2017-09-01,0.0,1.0,0.0,1.0
citroen jumper l2h2 camper,esp,2017-09-01,0.0,1.0,0.0,10.0
citroen jumper l3h2 camper,esp,2017-09-01,0.0,1.0,0.0,2.0
citroen jumpy autocaravana,esp,2017-09-01,0.0,1.0,0.0,13.0
citroen jumpy camper,fra,2017-09-01,0.0,1.0,0.0,6.0
citroen jumpy camper 2016,esp,2017-09-01,0.0,3.0,0.0,5.0
citroen jumpy camper nueva,esp,2017-09-01,0.0,1.0,0.0,3.0
citroen jumpy camper precio,esp,2017-09-01,0.0,4.0,0.0,8.75
citroen jumpy camperizada,esp,2017-09-01,0.0,1.0,0.0,6.0
citroën jumper,esp,2017-09-01,0.0,1.0,0.0,80.0
coches camperizados,usa,2017-09-01,0.0,1.0,0.0,68.0
cocina camper,col,2017-09-01,0.0,1.0,0.0,2.0
cocina camper,esp,2017-09-01,0.0,3.0,0.0,3.6666666666666665
colchones para furgonetas,usa,2017-09-01,0.0,1.0,0.0,26.0
como acondicionar una furgoneta para camping,esp,2017-09-01,0.0,1.0,0.0,5.0
como camperizar furgoneta,gbr,2017-09-01,0.0,1.0,0.0,7.0
como camperizar opel vivaro,esp,2017-09-01,0.0,2.0,0.0,9.5
como convertir una van en camper,per,2017-09-01,0.0,2.0,0.0,4.0
como hacer un camper,arg,2017-09-01,0.0,1.0,0.0,10.0
como hacer una camper,arg,2017-09-01,0.0,1.0,0.0,9.0
como hacer una camper,chl,2017-09-01,0.0,3.0,0.0,9.333333333333334
como hacer una camper,esp,2017-09-01,0.0,3.0,0.0,7.666666666666667
como hacer una caravana,fra,2017-09-01,0.0,1.0,0.0,46.0
como hacer una furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,3.0
como homologar furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,7.0
como montar una furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,6.0
como preparar una furgoneta por dentro,esp,2017-09-01,0.0,1.0,0.0,8.0
como transformar una furgoneta en autocaravana,esp,2017-09-01,0.0,1.0,0.0,5.0
comprar citroen jumper,esp,2017-09-01,0.0,2.0,0.0,84.5
comprar dacia pontevedra,usa,2017-09-01,0.0,1.0,0.0,94.0
construir autocaravana furgoneta,esp,2017-09-01,0.0,1.0,0.0,5.0
convertir furgoneta en autocaravana,esp,2017-09-01,0.0,2.0,0.0,5.0
convertir una furgoneta en autocaravana,esp,2017-09-01,0.0,1.0,0.0,6.0
coste camperizar furgoneta,esp,2017-09-01,0.0,2.0,0.0,10.0
cual es la mejor furgoneta para camperizar,esp,2017-09-01,0.0,1.0,0.0,23.0
cuanto cuesta camperizar una furgo,esp,2017-09-01,0.0,2.0,0.0,10.5
cuanto cuesta hacer una furgoneta camper,esp,2017-09-01,0.0,2.0,0.0,8.0
cuanto cuesta hacer una furgoneta camper,usa,2017-09-01,0.0,2.0,0.0,8.0
dacia camper,esp,2017-09-01,0.0,3.0,0.0,2.666666666666667
dacia camper,usa,2017-09-01,0.0,2.0,0.0,91.0
dacia dokker camper,aut,2017-09-01,0.0,1.0,0.0,6.0
dacia dokker camper,swe,2017-09-01,0.0,1.0,0.0,58.0
dacia dokker camper,usa,2017-09-01,0.0,1.0,0.0,57.0
dacia dokker camper precio,esp,2017-09-01,0.0,2.0,0.0,9.0
dacia dokker camper van,esp,2017-09-01,0.0,2.0,0.0,5.0
dacia dokker camperizar,esp,2017-09-01,0.0,1.0,0.0,4.0
dacia dokker camping,gbr,2017-09-01,0.0,1.0,0.0,94.0
dacia dokker stepway camper,esp,2017-09-01,0.0,1.0,0.0,6.0
dacia dokker van camper,esp,2017-09-01,0.0,2.0,0.0,5.0
dacia duster camperizado,esp,2017-09-01,0.0,1.0,0.0,9.0
dacia lodgy camper,esp,2017-09-01,0.0,1.0,0.0,1.0
dacia lodgy camper,gbr,2017-09-01,0.0,1.0,0.0,14.0
dacia lodgy camper,hun,2017-09-01,0.0,2.0,0.0,1.0
dacia lodgy camper,ita,2017-09-01,0.0,1.0,0.0,1.0
dacia lodgy camper,usa,2017-09-01,0.0,2.0,0.0,14.0
dacia lodgy camperizzata,ita,2017-09-01,0.0,1.0,0.0,6.0
diferentes maneras de camperizar una renault master,esp,2017-09-01,0.0,1.0,0.0,8.0
diseños camper,esp,2017-09-01,0.0,1.0,0.0,2.0
distribucion furgoneta camper,esp,2017-09-01,0.0,2.0,0.0,1.0
dokker camper,usa,2017-09-01,0.0,1.0,0.0,48.0
dokker van camper,esp,2017-09-01,0.0,2.0,0.0,9.0
ducato l1h1 camper,arg,2017-09-01,0.0,1.0,0.0,1.0
ducha furgoneta,esp,2017-09-01,0.0,2.0,0.0,4.0
ducha interior camper,esp,2017-09-01,0.0,2.0,0.0,1.0
ducha marco polo,and,2017-09-01,0.0,1.0,0.0,2.0
ducha marco polo,esp,2017-09-01,0.0,1.0,0.0,3.0
ducha para furgoneta,usa,2017-09-01,0.0,1.0,0.0,73.0
ducha portatil para furgoneta,esp,2017-09-01,0.0,2.0,0.0,2.0
empresa camper,esp,2017-09-01,0.0,1.0,0.0,10.0
empresa camperizar furgoneta,esp,2017-09-01,0.0,2.0,0.0,2.0
empresa de camperizacion de furgonetas,esp,2017-09-01,0.0,1.0,0.0,3.0
empresas camperizacion,esp,2017-09-01,0.0,1.0,0.0,4.0
empresas camperizar furgonetas barcelona,esp,2017-09-01,0.0,2.0,0.0,6.0
equipamiento camper para furgonetas,esp,2017-09-01,0.0,1.0,0.0,6.0
equipamiento furgonetas,esp,2017-09-01,0.0,1.0,0.0,1.0
equipamiento para furgonetas,usa,2017-09-01,0.0,1.0,0.0,75.0
equipar furgoneta para dormir,esp,2017-09-01,0.0,6.0,0.0,8.0
espace camper,esp,2017-09-01,0.0,1.0,0.0,8.0
evalia camper,esp,2017-09-01,0.0,23.0,0.0,6.391304347826087
